569: L R2 U' B2 R' D B D' F2 B' 
570: L R2 U' B2 R' F2 D B D' B' 
571: L R2 D B2 U' B D2 R' D F2 
572: L R2 D' B' U' D2 R' B D F2 
573: L R' U2 D B U D' R F2 B2 
574: L R' U' R U D' F L2 R2 D 
575: L R' U' R' F2 B U' B U2 R2 
576: L R' D L2 B' R2 D' L' D2 L 
577: L R' D B' U' D' R' F2 B2 R 
578: L R' D B' U' D' R' B2 R F2 
579: L R' D B' U' D' F2 R' B2 R 
580: L R' F R D' F L2 U2 R D 
581: L R' F2 R D' F L2 U' R D 
582: L F U L' R' B' R2 D L F 
583: L F U R2 U' R' B L2 D L2 
584: L F U R2 U' B L2 R' D L2 
585: L F U2 R D2 F' R F2 D' L 
586: L F U2 F' D R2 B' D2 R' D 
587: L F U' L R D F' U F' L' 
588: L F U' L' R' B' R2 D L F2 
589: L F D' R D L2 B D L2 B' 
590: L F D' R D B L2 D L2 B' 
591: L F D' R B' D B L2 D B' 
592: L F L R D2 F' U D' L' F' 
593: L F L R F' U F L D L2 
594: L F L R B L D2 F D' L 
595: L F L2 U2 R B' D2 F D' L 
596: L F L2 D2 L D2 R B D L 
597: L F L2 D' R D B D L2 B' 
598: L F L2 D' R' F D R2 D L2 
599: L F L2 D' F R2 D R' D L2 
600: L F L2 D' F R' D R2 D L2 
601: L F L2 R D L' F' U L' F 
602: L F L2 R D L' F' U F L' 
603: L F L2 R D' R' D' F D' L2 
604: L F L2 B2 D2 L' F U D' L' 
605: L F L2 B2 D' F D' L' D' L' 
606: L F L2 B' D L2 B' L' B L 
607: L F L2 B' D2 L D' L U B 
608: L F L2 B' D' R U2 R2 D2 B' 
609: L F L2 B' D' R' D2 B L2 B2 
610: L F L2 B' D' R' F D2 B' L2 
611: L F L2 B' D' F D2 L B L 
612: L F L2 B' D' F R' D2 B' L2 
613: L F L2 B' R D2 F L D' L 
614: L F L' R' B' U' D B2 L F' 
615: L F L' R' B' R2 U' D L F' 
616: L F R D' R' D B' L2 D L2 
617: L F R2 U' R' B U L2 D L2 
618: L F R2 U' R' B L D L' F2 
619: L F R2 U' R' B L D F2 L' 
620: L F R2 U' R' B L2 D L2 F2 
621: L F R2 U' B U L2 R' D L2 
622: L F R2 U' B L R' D L' F2 
623: L F R2 U' B L R' D F2 L' 
624: L F R2 U' B L2 R' D L2 F2 
625: L F R2 U' B R' U L2 D L2 
626: L F R' U' L' B' D B' L F2 
627: L F R' B L U' L D B2 L2 
628: L F B U L D' B2 R D2 B' 
629: L F B U' L' B2 D L F2 B' 
630: L F B L2 B2 D' R F D2 L2 
631: L F B L2 B2 D' R' D2 L2 B' 
632: L F B L' U' L' U B2 D B' 
633: L F B L' U' L' B2 D L2 B' 
634: L F B2 L U L B' D L2 B' 
635: L F B2 L2 D2 L D2 B D L 
636: L F B2 L2 D2 L' F' L2 D' L 
637: L F B2 L2 R' B' D2 L D' L 
638: L F B' D' R' D L2 D L2 B' 
639: L F B' L2 D L2 B' L' B L 
640: L F B' L2 D2 L D' L U B 
641: L F B' L2 D' R U2 R2 D2 B' 
