480: R' B U' D2 R D' F2 L R2 D2 
481: R' B U' D' R2 U2 B2 L' U R2 
482: R' B U' L D' R2 U2 B2 L' R 
483: R' B U' L F' D F' L' D2 L2 
484: R' B U' L2 D' R2 U2 B2 L' R2 
485: R' B U' L2 F' D F' L2 D2 L' 
486: R' B U' L' D L R F2 R2 D2 
487: R' B U' L' D L R2 F2 R D2 
488: R' B U' L' D F2 L2 D2 L' R' 
489: R' B U' L' D F2 L' D2 L2 R' 
490: R' B U' R F2 U' D B2 L D 
491: R' B U' R F2 D L D' R2 D2 
492: R' B U' B2 R2 F2 U' B2 D2 L' 
493: R' B D2 L2 U' R2 D' R2 F2 L 
494: R' B D2 F2 U2 R2 B2 D L R2 
495: R' B D' B2 U' D2 F2 L2 D2 L' 
496: R' B D' B2 U' R2 U2 B2 L' R2 
497: R' B L F2 D2 R' D' L' D2 L2 
498: R' B L2 U F2 U' D L2 D2 L' 
499: R' B L2 U F2 B2 D2 B2 D L 
500: R' B L2 U F2 B2 D' L2 U' L' 
501: R' B L2 U2 F2 U2 D L2 D2 L' 
502: R' B L2 U2 F2 D L2 D2 L' R2 
503: R' B L2 U2 F2 D L' D2 L2 R2 
504: R' B L2 U2 F2 D' L2 R2 U2 L' 
505: R' B L2 U' D2 F2 U2 B2 D L 
506: R' B L2 U' B2 U2 F2 B2 D' L 
507: R' B L2 U' B2 D2 F2 B2 D L 
508: R' B L2 U' B' D2 F2 B D L 
509: R' B L2 D L2 U' D' F2 D' L 
510: R' B L2 D L' F2 L' F2 D2 L2 
511: R' B L2 D2 F2 U2 B2 D L R2 
512: R' B L2 D' L' R2 B2 L' R B2 
513: R' B L2 D' R U2 L2 B2 R2 B2 
514: R' B L2 D' R U2 F2 L2 R2 F2 
515: R' B L2 D' R U2 F2 L2 F2 R2 
516: R' B L2 D' R U2 B2 L2 R2 B2 
517: R' B L2 D' R2 B2 L' R B2 R 
518: R' B L2 D' F2 D2 L2 D2 L' F2 
519: R' B L2 D' F2 D2 L2 D2 F2 L' 
520: R' B L2 D' B2 U2 R2 U2 B2 L' 
521: R' B L2 R2 U B2 U' R2 D' L' 
522: R' B L2 R2 U B2 D' F2 U' L' 
523: R' B L2 F2 U B2 D2 B2 D L 
524: R' B L2 F2 U B2 D' L2 U' L' 
525: R' B L2 F2 U2 D L2 D2 L' R2 
526: R' B L2 F2 U2 D L' D2 L2 R2 
527: R' B L2 F2 U2 D' L2 R2 U2 L' 
528: R' B L2 F2 D L2 D2 F2 L' F2 
529: R' B L2 F2 D L2 D2 F' L' F 
530: R' B L2 F2 D B' L2 D2 F' L' 
531: R' B L2 F2 B2 D L2 U' D2 L' 
532: R' B L2 B2 U B2 U F2 D' L 
533: R' B L2 B2 U2 F2 U' B2 D' L 
